SKU,ITEM_DESCRIPTION,DEPARTMENT,CATEGORY,SUBCATEGORY1,SUBCATEGORY2,BRAND,ITEM_WEIGHT,ITEM_UNIT_OF_MEASURE
65142,Paddock Farm Chicken Feet,Dog,Treat,Natural,Other,Paddock Farm,1.0000,KG
65145,Paddock Farm Duck Feet,Dog,Treat,Natural,Other,Paddock Farm,1.0000,KG
65147,P Farm Puffed Chicken Feet,Dog,Treat,Natural,Other,Paddock Farm,1.0000,KG
66515,Smiley Face Doggy Play Balls,Dog,Toys,Play,Heritage,Pet Living,,
66502,Dog Primary 1st Vac Vanguard,Services,Vet,Dog,Service,Service,,
66482, Treat Lick-E-Lix With Catnip,Cat,Treat,Other,Na,Webbox,,
66408, Vanilla Cheesecake Treats,Dog,Treat,Biscuits,Other,Wagg,0.1000,KG
66409,Carrot Cake Treats,Dog,Treat,Biscuits,Other,Wagg,0.1000,KG
66403,100 Dog Bags 4x25 Pocket Pk,Dog,Accessory,Poop,Na,R&R,,
66304,Wind Up & Go Spider Cat Chase,Cat,Toys,Chase,Na,Pet Living,,
66168,Ultimate Fatballs,Wildbird,Treat,Fatball,Na,Suet Shop,,
65801,Ls Pork Rolls Large 4 Pack,Dog,Treat,Natural,Other,Lifestage,,
65804,Ls Chicken Feet 300g,Dog,Treat,Natural,Other,Lifestage,0.3000,KG
65805,Ls Pork Bites 500g,Dog,Treat,Natural,Other,Lifestage,0.5000,KG
65807,Ls Lamb Feet 3 Pack,Dog,Treat,Natural,Other,Lifestage,,
65809,Ls Lamb Trachea 200g,Dog,Treat,Natural,Other,Lifestage,0.2000,KG
65810,Ls Cow Ears 10 Pack,Dog,Treat,Natural,Other,Lifestage,,
65661,Tennis Balls,Dog,Toys,Tennis,Other,R&R,,
65596,15% Off Voucher,Misc.,Vouchers,Reward,Na,Jollyes,,
65597,15% Off Voucher,Misc.,Vouchers,Reward,Na,Jollyes,,
65598,15% Off Voucher,Misc.,Vouchers,Reward,Na,Jollyes,,
64101,Snack Vinyl,Dog,Toys,Other,Na,R&R,,
63612,Feather Bell,Cat,Toys,Teaser,Na,R&R,,
63375,More Balls Please Reusable Bag,Misc.,Other,Bags,Na,R&R,,
63376,Treats For All Reusable Bag,Misc.,Other,Bags,Na,R&R,,
63156,2 Pack Poop Dispenser,Dog,Accessory,Poop,Na,R&R,,
64952, Pigs Ears,Dog,Treat,Natural,Other,Paddock Farm,,
62953,Duck Variety Pack,Dog,Treat,Other,Other,Lifestage,0.4000,KG
62954,Stick Variety Pack,Dog,Treat,Other,Other,Lifestage,0.4000,KG
62955,Giant Chicken Wrapped Carrot,Dog,Treat,Other,Other,Lifestage,0.0700,KG
62956,Giant Duck Wrapped Sweet Potat,Dog,Treat,Other,Other,Lifestage,0.0700,KG
63238,Timothy Rich Hay With Carrot,Sm.Animal,Food,Other,Na,Natures Own,1.0000,KG
65404,Yakers Chew Apple Medium,Dog,Treat,Natural,Other,Yakers,,
65409,Yakers Chew Apple Xl,Dog,Treat,Natural,Other,Yakers,,
65410,Yakers Chew Cranberry Medium,Dog,Treat,Natural,Other,Yakers,,
59843,Sweet Green Hay,Sm.Animal,Food,Other,Na,Lfj Millers,3.5000,KG
63324,Essential Clumping Cat Litter,Cat,Litter,Other,Na,Jollyes Feline Hygiene,15.0000,KG
63326,Ultra Antibac Clumping Litter,Cat,Litter,Other,Na,Jollyes Feline Hygiene,10.0000,L
63147,Flashing Safety Light,Dog,Accessory,Identity,Na,R&R,,
66298,Sml Breed G.Free Salmon,Dog,Food,S.P.Dry,Adult,Lifestage,2.0000,KG
66473,1+  Cat Pouches Surf & Turf,Cat,Food,S.S.Wet,Adult,Whiskas,6.8000,KG
65785,Goose Mince,Dog,Food,Frozen,Adult,Raw And Simple,0.4540,KG
65733,Assorted Multipack In Jelly,Dog,Food,Tins,Adult,Nutristep,4.8000,KG
62808,Bath Brush & Dry 12kg Lhair,Services,Grooming,Dog,Groom,Jolly Groomer,,
62813,Nail Clip,Services,Grooming,Dog,Add-On,Jolly Groomer,,
62826,Full Haircut 12kg,Services,Grooming,Dog,Groom,Jolly Groomer,,
65813,Sizzlers Bacon Treat Maxi,Dog,Treat,Other,Other,Bakers,0.0010,KG
65815,Bacon/Cheese Whirlers Maxi,Dog,Treat,Other,Other,Bakers,0.0010,KG
56399,Parakeet & Cockatiel Mix,Weighed,Bird,Cagedbird,Na,Weighed,,
56400,Budgie Mix,Weighed,Bird,Cagedbird,Na,Weighed,,
56401,Canary No 1 Mix,Weighed,Bird,Cagedbird,Na,Weighed,,
56402,Foreign Finch Mix,Weighed,Bird,Cagedbird,Na,Weighed,,
61617,5 A Day Hay,Sm.Animal,Food,Other,Na,Natures Own,1.0000,KG
61618,Timothy Hay With Mgold & Dlion,Sm.Animal,Food,Other,Na,Natures Own,1.0000,KG
63351,Chunky Beef Free Flow,Dog,Food,Frozen,Adult,Durham Animal Feeds,1.0000,KG
63347,Frozen Sprats,Dog,Food,Frozen,Adult,Durham Animal Feeds,1.0000,KG
63352,Chunky Chicken Free Flow,Dog,Food,Frozen,Adult,Durham Animal Feeds,1.0000,KG
64059,Artisan Ad Turkey & Chicken,Cat,Food,S.P.Dry,Adult,Lifestage,1.5000,KG
63407,Raw Chicken,Dog,Food,Frozen,Adult,Lifestage,0.5000,KG
63408,Raw Beef,Dog,Food,Frozen,Adult,Lifestage,0.5000,KG
61629,Rufus & Rosie Pet Wipes,Dog,Medical,Hygiene,Na,R&R,0.2500,KG
